2643,2
67c0,ed,c8
67c0,fa,e4
67c1,91,c6
67c4,95,bf
67c6,9e,75
67ca,95,41
67ce,9e,74
67cf,94,90
67d0,96,5e
67d1,8a,b9
67d3,90,f5
67d4,8f,5f
67d8,92,d1
67da,97,4d
67dd,9e,70
67de,9e,6f
67e2,9e,71
67e4,9e,6e
67e7,9e,76
67e9,9e,6c
67ec,9e,6a
67ee,9e,72
67ef,9e,68
67f1,92,8c
67f3,96,f6
67f4,8e,c4
67f5,8d,f2
67fb,8d,b8
67fe,96,8f
67ff,8a,60
6801,ed,c9
6801,fa,e5
6802,92,cc
6803,93,c8
6804,89,68
6813,90,f0
6816,90,b2
6817,8c,49
681e,9e,78
6821,8d,5a
6822,8a,9c
6829,9e,7a
682a,8a,94
682b,9e,81
6832,9e,7d
6834,90,f1
6838,8a,6a
6839,8d,aa
683c,8a,69
683d,8d,cd
6840,9e,7b
6841,8c,85
6842,8c,6a
6843,93,8d
6844,ed,ca
6844,fa,e6
6846,9e,79
6848,88,c4
684d,9e,7c
684e,9e,7e
6850,8b,cb
6851,8c,4b
6852,ed,c7
6852,fa,e3
6853,8a,ba
6854,8b,6a
6859,9e,82
685c,8d,f7
685d,96,91
685f,8e,56
6863,9e,83
6867,95,4f
6874,9e,8f
6876,89,b1
6877,9e,84
687e,9e,95
687f,9e,85
6881,97,c0
6883,9e,8c
6885,94,7e
688d,9e,94
688f,9e,87
6893,88,b2
6894,9e,89
6897,8d,5b
689b,9e,8b
689d,9e,8a
689f,9e,86
68a0,9e,91
68a2,8f,bd
68a6,9a,eb
68a7,8c,e6
68a8,97,9c
68ad,9e,88
68af,92,f2
68b0,8a,42
68b1,8d,ab
68b3,9e,80
68b5,9e,90
68b6,8a,81
68b9,9e,8e
68ba,9e,92
68bc,93,8e
68c4,8a,fc
68c6,9e,b0
68c8,ed,48
68c8,fa,64
68c9,96,c7
68ca,9e,97
68cb,8a,fb
68cd,9e,9e
68cf,ed,cb
68cf,fa,e7
68d2,96,5f
68d4,9e,9f
68d5,9e,a1
68d7,9e,a5
68d8,9e,99
68da,92,49
68df,93,8f
68e0,9e,a9
68e1,9e,9c
68e3,9e,a6
68e7,9e,a0
68ee,90,58
68ef,9e,aa
68f2,90,b1
68f9,9e,a8
68fa,8a,bb
6900,98,6f
6901,9e,96
6904,9e,a4
6905,88,d6
6908,9e,98
690b,96,b8
690c,9e,9d
690d,90,41
690e,92,c5
690f,9e,93
6912,9e,a3
6919,90,9a
691a,9e,ad
691b,8a,91
691c,8c,9f
6921,9e,af
6922,9e,9a
6923,9e,ae
6925,9e,a7
6926,9e,9b
6928,9e,ab
692a,9e,ac
6930,9e,bd
6934,93,cc
6936,9e,a2
6939,9e,b9
693d,9e,bb
693f,92,d6
694a,97,6b
6953,95,96
6954,9e,b6
6955,91,c8
6959,9e,bc
695a,91,5e
695c,9e,b3
695d,9e,c0
695e,9e,bf
6960,93,ed
6961,9e,be
6962,93,e8
6968,ed,cd
6968,fa,e9
696a,9e,c2
696b,9e,b5
696d,8b,c6
696e,9e,b8
696f,8f,7c
6973,94,80
6974,9e,ba
6975,8b,c9
6977,9e,b2
6978,9e,b4
6979,9e,b1
697c,98,4f
697d,8a,79
697e,9e,b7
6981,9e,c1
6982,8a,54
698a,8d,e5
698e,89,7c
6991,9e,d2
6994,98,50
6995,9e,d5
6998,ed,cf
6998,fa,eb
699b,90,59
699c,9e,d4
69a0,9e,d3
69a7,9e,d0
69ae,9e,c4
69b1,9e,e1
69b2,9e,c3
69b4,9e,d6
69bb,9e,ce
69be,9e,c9
69bf,9e,c6
69c1,9e,c7
69c3,9e,cf
69c7,ea,a0
69ca,9e,cc
69cb,8d,5c
69cc,92,c6
69cd,91,84
69ce,9e,ca
69d0,9e,c5
69d3,9e,c8
69d8,97,6c
69d9,96,8a
69dd,9e,cd
69de,9e,d7
69e2,ed,d0
69e2,fa,ec
69e7,9e,df
69e8,9e,d8
69eb,9e,e5
69ed,9e,e3
69f2,9e,de
69f9,9e,dd
69fb,92,ce
69fd,91,85
69ff,9e,db
6a02,9e,d9
6a05,9e,e0
6a0a,9e,e6
6a0b,94,f3
6a0c,9e,ec
6a12,9e,e7
6a13,9e,ea
6a14,9e,e4
6a17,92,94
6a19,95,57
6a1b,9e,da
6a1e,9e,e2
6a1f,8f,be
6a21,96,cd
6a22,9e,f6
6a23,9e,e9
6a29,8c,a0
6a2a,89,a1
6a2b,8a,7e
6a2e,9e,d1
6a30,ed,d1
6a30,fa,ed
6a35,8f,bf
6a36,9e,ee
6a38,9e,f5
6a39,8e,f7
6a3a,8a,92
6a3d,92,4d
6a44,9e,eb
6a46,ed,d3
6a46,fa,ef
6a47,9e,f0
6a48,9e,f4
6a4b,8b,b4
6a58,8b,6b
6a59,9e,f2
6a5f,8b,40
6a61,93,c9
6a62,9e,f1
6a66,9e,f3
6a6b,ed,d2
6a6b,fa,ee
6a72,9e,ed
6a73,ed,d4
6a73,fa,f0
6a78,9e,ef
6a7e,ed,d5
6a7e,fa,f1
6a7f,8a,80
6a80,92,68
6a84,9e,fa
6a8d,9e,f8
6a8e,8c,e7
6a90,9e,f7
6a97,9f,40
6a9c,9e,77
6aa0,9e,f9
6aa2,9e,fb
6aa3,9e,fc
6aaa,9f,4b
6aac,9f,47
6aae,9e,8d
6ab3,9f,46
6ab8,9f,45
6abb,9f,42
6ac1,9e,e8
6ac2,9f,44
6ac3,9f,43
6ad1,9f,49
6ad3,98,45
6ada,9f,4c
6adb,8b,f9
6ade,9f,48
6adf,9f,4a
6ae2,ed,d6
6ae2,fa,f2
6ae4,ed,d7
6ae4,fa,f3
6ae8,94,a5
6aea,9f,4d
6afa,9f,51
6afb,9f,4e
6b04,97,93
6b05,9f,4f
6b0a,9e,dc
6b12,9f,52
6b16,9f,53
6b1d,89,54
6b1f,9f,55
6b20,8c,87
6b21,8e,9f
6b23,8b,d3
6b27,89,a2
6b32,97,7e
6b37,9f,57
6b38,9f,56
6b39,9f,59
6b3a,8b,5c
6b3d,8b,d4
6b3e,8a,bc
6b43,9f,5c
6b47,9f,5b
6b49,9f,5d
6b4c,89,cc
6b4e,92,56
6b50,9f,5e
6b53,8a,bd
6b54,9f,60
6b59,9f,5f
6b5b,9f,61
6b5f,9f,62
6b61,9f,63
6b62,8e,7e
6b63,90,b3
6b64,8d,9f
6b66,95,90
6b69,95,e0
6b6a,98,63
6b6f,8e,95
6b73,8d,ce
6b74,97,f0
6b78,9f,64
6b79,9f,65
6b7b,8e,80
6b7f,9f,66
6b80,9f,67
6b83,9f,69
6b84,9f,68
6b86,96,77
6b89,8f,7d
6b8a,8e,ea
6b8b,8e,63
6b8d,9f,6a
6b95,9f,6c
6b96,90,42
6b98,9f,6b
6b9e,9f,6d
6ba4,9f,6e
6baa,9f,6f
6bab,9f,70
6baf,9f,71
6bb1,9f,73
6bb2,9f,72
6bb3,9f,74
6bb4,89,a3
6bb5,92,69
6bb7,9f,75
6bba,8e,45
6bbb,8a,6b
6bbc,9f,76
6bbf,93,61
6bc0,9a,ca
6bc5,8b,42
6bc6,9f,77
6bcb,9f,78
6bcd,95,ea
6bce,96,88
6bd2,93,c5
6bd3,9f,79
6bd4,94,e4
6bd6,ed,d8
6bd6,fa,f4
6bd8,94,f9
6bdb,96,d1
6bdf,9f,7a
6beb,9f,7c
6bec,9f,7b
6bef,9f,7e
6bf3,9f,7d
6c08,9f,81
6c0f,8e,81
6c11,96,af
6c13,9f,82
6c14,9f,83
6c17,8b,43
6c1b,9f,84
6c23,9f,86
6c24,9f,85
6c34,90,85
6c37,95,58
6c38,89,69
6c3e,94,c3
6c3f,ed,d9
6c3f,fa,f5
6c40,92,f3
6c41,8f,60
6c42,8b,81
6c4e,94,c4
6c50,8e,ac
6c55,9f,88
6c57,8a,be
6c5a,89,98
6c5c,ed,da
6c5c,fa,f6
6c5d,93,f0
6c5e,9f,87
6c5f,8d,5d
6c60,92,72
6c62,9f,89
6c68,9f,91
6c6a,9f,8a
6c6f,ed,dc
6c6f,fa,f8
6c70,91,bf
6c72,8b,82
6c73,9f,92
6c7a,8c,88
6c7d,8b,44
6c7e,9f,90
6c81,9f,8e
6c82,9f,8b
6c83,97,80
6c86,ed,db
6c86,fa,f7
6c88,92,be
6c8c,93,d7
6c8d,9f,8c
6c90,9f,94
6c92,9f,93
6c93,8c,42
6c96,89,ab
6c99,8d,b9
6c9a,9f,8d
6c9b,9f,8f
6ca1,96,76
6ca2,91,f2
6cab,96,97
6cae,9f,9c
6cb1,9f,9d
6cb3,89,cd
6cb8,95,a6
6cb9,96,fb
6cba,9f,9f
6cbb,8e,a1
6cbc,8f,c0
6cbd,9f,98
6cbe,9f,9e
6cbf,89,88
6cc1,8b,b5
6cc4,9f,95
6cc5,9f,9a
6cc9,90,f2
6cca,94,91
6ccc,94,e5
6cd3,9f,97
6cd5,96,40
6cd7,9f,99
6cd9,9f,a2
6cda,ed,dd
6cda,fa,f9
6cdb,9f,a0
6cdd,9f,9b
6ce1,96,41
6ce2,94,67
6ce3,8b,83
6ce5,93,44
6ce8,92,8d
6cea,9f,a3
6cef,9f,a1
6cf0,91,d7
6cf1,9f,96
6cf3,89,6a
6d04,ed,de
6d04,fa,fa
6d0b,97,6d
6d0c,9f,ae
6d12,9f,ad
6d17,90,f4
6d19,9f,aa
6d1b,97,8c
6d1e,93,b4
6d1f,9f,a4
6d25,92,c3
6d29,89,6b
6d2a,8d,5e
6d2b,9f,a7
6d32,8f,46
6d33,9f,ac
6d35,9f,ab
6d36,9f,a6
6d38,9f,a9
6d3b,8a,88
6d3d,9f,a8
6d3e,94,68
6d41,97,ac
6d44,8f,f2
6d45,90,f3
6d59,9f,b4
6d5a,9f,b2
6d5c,95,6c
6d63,9f,af
6d64,9f,b1
6d66,89,59
6d69,8d,5f
6d6a,98,51
6d6c,8a,5c
6d6e,95,82
6d6f,ed,e0
6d6f,fa,fc
6d74,97,81
6d77,8a,43
6d78,90,5a
6d79,9f,b3
6d85,9f,b8
6d87,ed,df
6d87,fa,fb
6d88,8f,c1
6d8c,97,4f
6d8e,9f,b5
6d93,9f,b0
6d95,9f,b6
6d96,ed,e1
6d96,fb,40
6d99,97,dc
6d9b,93,93
6d9c,93,c0
6dac,ed,e2
6dac,fb,41
6daf,8a,55
6db2,89,74
6db5,9f,bc
6db8,9f,bf
6dbc,97,c1
6dc0,97,84
6dc5,9f,c6
6dc6,9f,c0
6dc7,9f,bd
6dcb,97,d2
6dcc,9f,c3
6dcf,ed,e3
6dcf,fb,42
6dd1,8f,69
6dd2,9f,c5
6dd5,9f,ca
6dd8,93,91
6dd9,9f,c8
6dde,9f,c2
6de1,92,57
6de4,9f,c9
6de6,9f,be
6de8,9f,c4
6dea,9f,cb
6deb,88,fa
6dec,9f,c1
6dee,9f,cc
6df1,90,5b
6df2,ed,e5
6df2,fb,44
6df3,8f,7e
6df5,95,a3
6df7,8d,ac
6df8,ed,e4
6df8,fb,43
6df9,9f,b9
6dfa,9f,c7
6dfb,93,59
6dfc,ed,e6
6dfc,fb,45
6e05,90,b4
6e07,8a,89
6e08,8d,cf
6e09,8f,c2
6e0a,9f,bb
6e0b,8f,61
6e13,8c,6b
6e15,9f,ba
6e19,9f,d0
6e1a,8f,8d
6e1b,8c,b8
6e1d,9f,df
6e1f,9f,d9
6e20,8b,94
6e21,93,6e
6e23,9f,d4
6e24,9f,dd
6e25,88,ad
6e26,89,51
6e27,ed,e9
6e27,fb,48
6e29,89,b7
6e2b,9f,d6
6e2c,91,aa
6e2d,9f,cd
6e2e,9f,cf
6e2f,8d,60
6e38,9f,e0
6e39,ed,e7
6e39,fb,46
6e3a,9f,db
6e3c,ed,ea
6e3c,fb,49
6e3e,9f,d3
6e43,9f,da
6e4a,96,a9
6e4d,9f,d8
6e4e,9f,dc
6e56,8c,ce
6e58,8f,c3
6e5b,92,58
6e5c,ed,e8
6e5c,fb,47
6e5f,9f,d2
6e67,97,4e
6e6b,9f,d5
6e6e,9f,ce
6e6f,93,92
6e72,9f,d1
6e76,9f,d7
6e7e,98,70
6e7f,8e,bc
6e80,96,9e
6e82,9f,e1
6e8c,94,ac
6e8f,9f,ed
6e90,8c,b9
6e96,8f,80
6e98,9f,e3
6e9c,97,ad
6e9d,8d,61
6e9f,9f,f0
6ea2,88,ec
6ea5,9f,ee
6eaa,9f,e2
6eaf,9f,e8
6eb2,9f,ea
6eb6,97,6e
6eb7,9f,e5
6eba,93,4d
6ebd,9f,e7
6ebf,ed,eb
6ebf,fb,4a
6ec2,9f,ef
6ec4,9f,e9
6ec5,96,c5
6ec9,9f,e4
6ecb,8e,a0
6ecc,9f,fc
6ed1,8a,8a
6ed3,9f,e6
6ed4,9f,eb
6ed5,9f,ec
6edd,91,ea
6ede,91,d8
6eec,9f,f4
6eef,9f,fa
6ef2,9f,f8
6ef4,93,48
6ef7,e0,42
6ef8,9f,f5
6efe,9f,f6
6eff,9f,de
6f01,8b,99
6f02,95,59
6f06,8e,bd
6f09,8d,97
6f0f,98,52
6f11,9f,f2
6f13,e0,41
6f14,89,89
6f15,91,86
6f20,94,99
6f22,8a,bf
6f23,97,f8
6f2b,96,9f
6f2c,92,d0
6f31,9f,f9
6f32,9f,fb
6f38,91,51
6f3e,e0,40
6f3f,9f,f7
6f41,9f,f1
6f45,8a,c1
6f54,8c,89
6f58,e0,4e
6f5b,e0,49
6f5c,90,f6
6f5f,8a,83
6f64,8f,81
6f66,e0,52
6f6d,e0,4b
6f6e,92,aa
6f6f,e0,48
6f70,92,d7
6f74,e0,6b
6f78,e0,45
6f7a,e0,44
6f7c,e0,4d
6f80,e0,47
6f81,e0,46
6f82,e0,4c
6f84,90,9f
6f86,e0,43
6f88,ed,ec
6f88,fb,4b
6f8e,e0,4f
6f91,e0,50
6f97,8a,c0
6fa1,e0,55
6fa3,e0,54
6fa4,e0,56
6faa,e0,59
6fb1,93,62
6fb3,e0,53
6fb5,ed,ed
6fb5,fb,4c
6fb9,e0,57
6fc0,8c,83
6fc1,91,f7
6fc2,e0,51
6fc3,94,5a
6fc6,e0,58
6fd4,e0,5d
6fd5,e0,5b
6fd8,e0,5e
6fdb,e0,61
6fdf,e0,5a
6fe0,8d,8a
6fe1,94,47
6fe4,9f,b7
6feb,97,94
6fec,e0,5c
6fee,e0,60
6fef,91,f3
6ff1,e0,5f
6ff3,e0,4a
6ff5,ed,ee
6ff5,fb,4d
6ff6,e8,89
6ffa,e0,64
6ffe,e0,68
7001,e0,66
7005,ed,ef
7005,fb,4e
7007,ed,f0
7007,fb,4f
7009,e0,62
700b,e0,63
700f,e0,67
7011,e0,65
7015,95,6d
7018,e0,6d
701a,e0,6a
701b,e0,69
701d,e0,6c
701e,93,d2
701f,e0,6e
7026,92,95
7027,91,eb
7028,ed,f1
7028,fb,50
702c,90,a3
7030,e0,6f
7032,e0,71
703e,e0,70
704c,9f,f3
7051,e0,72
7058,93,e5
7063,e0,73
706b,89,ce
706f,93,94
7070,8a,44
7078,8b,84
707c,8e,dc
707d,8d,d0
7085,ed,f2
7085,fb,51
7089,98,46
708a,90,86
708e,89,8a
7092,e0,75
7099,e0,74
70ab,ed,f3
70ab,fb,52
70ac,e0,78
70ad,92,59
70ae,e0,7b
70af,e0,76
70b3,e0,7a
70b8,e0,79
70b9,93,5f
70ba,88,d7
70bb,ed,46
70bb,fa,62
70c8,97,f3
70cb,e0,7d
70cf,89,47
70d9,e0,80
70dd,e0,7e
70df,e0,7c
70f1,e0,77
70f9,96,42
70fd,e0,82
7104,ed,f5
7104,fb,54
7109,e0,81
710f,ed,f4
710f,fb,53
7114,89,8b
7119,e0,84
711a,95,b0
711c,e0,83
7121,96,b3
7126,8f,c5
7136,91,52
713c,8f,c4
7146,ed,f7
7146,fb,56
7147,ed,f8
7147,fb,57
7149,97,f9
714c,e0,8a
714e,90,f7
7155,e0,86
7156,e0,8b
7159,89,8c
715c,ed,f6
715c,fb,55
7162,e0,89
7164,94,81
7165,e0,85
7166,e0,88
7167,8f,c6
7169,94,cf
716c,e0,8c
716e,8e,cf
717d,90,f8
7184,e0,8f
7188,e0,87
718a,8c,46
718f,e0,8d
7194,97,6f
7195,e0,90
7199,ea,a4
719f,8f,6e
71a8,e0,91
71ac,e0,92
71b1,94,4d
71b9,e0,94
71be,e0,95
71c1,ed,fa
71c1,fb,59
71c3,94,52
71c8,93,95
71c9,e0,97
71ce,e0,99
71d0,97,d3
71d2,e0,96
71d4,e0,98
71d5,89,8d
71d7,e0,93
71df,9a,7a
71e0,e0,9a
71e5,91,87
71e6,8e,57
71e7,e0,9c
71ec,e0,9b
71ed,90,43
71ee,99,d7
71f5,e0,9d
71f9,e0,9f
71fb,e0,8e
71fc,e0,9e
71fe,ed,fb
71fe,fb,5a
71ff,e0,a0
7206,94,9a
720d,e0,a1
7210,e0,a2
721b,e0,a3
7228,e0,a4
722a,92,dc
722c,e0,a6
722d,e0,a5
7230,e0,a7
7232,e0,a8
7235,8e,dd
7236,95,83
723a,96,ea
723b,e0,a9
723c,e0,aa
723d,91,75
723e,8e,a2
723f,e0,ab
7240,e0,ac
7246,e0,ad
7247,95,d0
7248,94,c5
724b,e0,ae
724c,94,76
7252,92,ab
7258,e0,af
7259,89,e5
725b,8b,8d
725d,96,c4
725f,96,b4
7261,89,b2
7262,98,53
7267,96,71
7269,95,a8
7272,90,b5
7274,e0,b0
7279,93,c1
727d,8c,a1
727e,e0,b1
7280,8d,d2
7281,e0,b3
7282,e0,b2
7287,e0,b4
7292,e0,b5
7296,e0,b6
72a0,8b,5d
72a2,e0,b7
72a7,e0,b8
72ac,8c,a2
72af,94,c6
72b1,ed,fc
72b1,fb,5b
72b2,e0,ba
72b6,8f,f3
72b9,e0,b9
72be,ee,40
72be,fb,5c
72c2,8b,b6
72c3,e0,bb
72c4,e0,bd
72c6,e0,bc
72ce,e0,be
72d0,8c,cf
72d2,e0,bf
72d7,8b,e7
72d9,91,5f
72db,8d,9d
72e0,e0,c1
72e1,e0,c2
72e2,e0,c0
72e9,8e,eb
72ec,93,c6
72ed,8b,b7
72f7,e0,c4
72f8,92,4b
72f9,e0,c3
72fc,98,54
72fd,94,82
730a,e0,c7
7316,e0,c9
7317,e0,c6
731b,96,d2
731c,e0,c8
731d,e0,ca
731f,97,c2
7324,ee,41
7324,fb,5d
7325,e0,ce
7329,e0,cd
732a,92,96
732b,94,4c
732e,8c,a3
732f,e0,cc
7334,e0,cb
7336,97,50
7337,97,51
733e,e0,cf
733f,89,8e
7344,8d,96
7345,8e,82
734e,e0,d0
734f,e0,d1
7357,e0,d3
7363,8f,62
7368,e0,d5
736a,e0,d4
7370,e0,d6
7372,8a,6c
7375,e0,d8
7377,ee,43
7377,fb,5f
7378,e0,d7
737a,e0,da
737b,e0,d9
7384,8c,ba
7387,97,a6
7389,8b,ca
738b,89,a4
7396,8b,e8
73a9,8a,df
73b2,97,e6
73b3,e0,dc
73bb,e0,de
73bd,ee,44
73bd,fb,60
73c0,e0,df
73c2,89,cf
73c8,e0,db
73c9,ee,45
73c9,fb,61
73ca,8e,58
73cd,92,bf
73ce,e0,dd
73d2,ee,48
73d2,fb,64
73d6,ee,46
73d6,fb,62
73de,e0,e2
73e0,8e,ec
73e3,ee,47
73e3,fb,63
73e5,e0,e0
73ea,8c,5d
73ed,94,c7
73ee,e0,e1
73f1,e0,fc
73f5,ee,4a
73f5,fb,66
73f8,e0,e7
73fe,8c,bb
7403,8b,85
7405,e0,e4
7406,97,9d
7407,ee,49
7407,fb,65
7409,97,ae
7422,91,f4
7425,e0,e6
7426,ee,4b
7426,fb,67
7429,ee,4d
7429,fb,69
742a,ee,4c
742a,fb,68
742e,ee,4e
742e,fb,6a
7432,e0,e8
7433,97,d4
7434,8b,d5
7435,94,fa
7436,94,69
743a,e0,e9
743f,e0,eb
7441,e0,ee
7455,e0,ea
7459,e0,ed
745a,8c,e8
745b,89,6c
745c,e0,ef
745e,90,90
745f,e0,ec
7460,97,da
7462,ee,4f
7462,fb,6b
7463,e0,f2
7464,ea,a2
7469,e0,f0
746a,e0,f3
746f,e0,e5
7470,e0,f1
7473,8d,ba
7476,e0,f4
747e,e0,f5
7483,97,9e
7489,ee,50
7489,fb,6c
748b,e0,f6
749e,e0,f7
749f,ee,51
749f,fb,6d
74a2,e0,e3
74a7,e0,f8
74b0,8a,c2
74bd,8e,a3
74ca,e0,f9
74cf,e0,fa
74d4,e0,fb
74dc,89,5a
74e0,e1,40
74e2,95,5a
74e3,e1,41
74e6,8a,a2
74e7,e1,42
74e9,e1,43
74ee,e1,44
74f0,e1,46
74f1,e1,47
74f2,e1,45
74f6,95,72
74f7,e1,49
74f8,e1,48
7501,ee,52
7501,fb,6e
7503,e1,4b
7504,e1,4a
7505,e1,4c
750c,e1,4d
750d,e1,4f
750e,e1,4e
7511,8d,99
7513,e1,51
7515,e1,50
7518,8a,c3
751a,90,72
751c,93,5b
751e,e1,52
751f,90,b6
7523,8e,59
7525,89,99
7526,e1,53
7528,97,70
752b,95,e1
752c,e1,54
752f,ed,8c
752f,fa,a8
7530,93,63
7531,97,52
7532,8d,62
7533,90,5c
7537,92,6a
7538,99,b2
753a,92,ac
753b,89,e6
753c,e1,55
7544,e1,56
7546,e1,5b
7549,e1,59
754a,e1,58
754b,9d,c0
754c,8a,45
754d,e1,57
754f,88,d8
7551,94,a8
7554,94,c8
7559,97,af
755a,e1,5c
755b,e1,5a
755c,92,7b
755d,90,a4
7560,94,a9
7562,95,4c
7564,e1,5e
7565,97,aa
7566,8c,6c
7567,e1,5f
7569,e1,5d
756a,94,d4
756b,e1,60
756d,e1,61
756f,ee,53
756f,fb,6f
7570,88,d9
7573,8f,f4
7574,e1,66
7576,e1,63
7577,93,eb
7578,e1,62
757f,8b,45
7582,e1,69
7586,e1,64
7587,e1,65
7589,e1,68
758a,e1,67
758b,95,44
758e,91,61
758f,91,60
7591,8b,5e
7594,e1,6a
759a,e1,6b
759d,e1,6c
75a3,e1,6e
75a5,e1,6d
75ab,89,75
75b1,e1,76
75b2,94,e6
75b3,e1,70
75b5,e1,72
75b8,e1,74
75b9,90,5d
75bc,e1,75
75bd,e1,73
75be,8e,be
75c2,e1,6f
75c3,e1,71
75c5,95,61
75c7,8f,c7
75ca,e1,78
75cd,e1,77
75d2,e1,79
75d4,8e,a4
75d5,8d,ad
75d8,93,97
75d9,e1,7a
75db,92,c9
75de,e1,7c
75e2,97,9f
75e3,e1,7b
75e9,91,89
75f0,e1,82
75f2,e1,84
75f3,e1,85
75f4,92,73
75fa,e1,83
75fc,e1,80
75fe,e1,7d
75ff,e1,7e
7601,e1,81
7609,e1,88
760b,e1,86
760d,e1,87
761f,e1,89
7620,e1,8b
7621,e1,8c
7622,e1,8d
7624,e1,8e
7627,e1,8a
7630,e1,90
7634,e1,8f
763b,e1,91
7642,97,c3
7646,e1,94
7647,e1,92
7648,e1,93
764c,8a,e0
7652,96,fc
7656,95,c8
7658,e1,96
765c,e1,95
7661,e1,97
7662,e1,98
7667,e1,9c
7668,e1,99
7669,e1,9a
766a,e1,9b
766c,e1,9d
7670,e1,9e
7672,e1,9f
7676,e1,a0
7678,e1,a1
767a,94,ad
767b,93,6f
767c,e1,a2
767d,94,92
767e,95,53
7680,e1,a3
7682,ee,54
7682,fb,70
7683,e1,a4
7684,93,49
7686,8a,46
7687,8d,63
7688,e1,a5
768b,e1,a6
768e,e1,a7
7690,8e,48
7693,e1,a9
7696,e1,a8
7699,e1,aa
769a,e1,ab
769b,ee,57
769b,fb,73
769c,ee,55
769c,fb,71
769e,ee,56
769e,fb,72
76a6,ee,58
76a6,fb,74
76ae,94,e7
76b0,e1,ac
76b4,e1,ad
76b7,ea,89
76b8,e1,ae
76b9,e1,af
76ba,e1,b0
76bf,8e,4d
76c2,e1,b1
76c3,94,75
76c6,96,7e
76c8,89,6d
76ca,89,76
76cd,e1,b2
76d2,e1,b4
76d6,e1,b3
76d7,93,90
76db,90,b7
76dc,9f,58
76de,e1,b5
76df,96,bf
76e1,e1,b6
76e3,8a,c4
76e4,94,d5
76e5,e1,b7
76e7,e1,b8
76ea,e1,b9
76ee,96,da
76f2,96,d3
76f4,92,bc
76f8,91,8a
76fb,e1,bb
76fe,8f,82
7701,8f,c8
7704,e1,be
7707,e1,bd
7708,e1,bc
7709,94,fb
770b,8a,c5
770c,8c,a7
771b,e1,c4
771e,e1,c1
771f,90,5e
7720,96,b0
7724,e1,c0
7725,e1,c2
7726,e1,c3
7729,e1,bf
7737,e1,c5
7738,e1,c6
773a,92,ad
773c,8a,e1
7740,92,85
7746,ee,5a
7746,fb,76
7747,e1,c7
775a,e1,c8
775b,e1,cb
7761,90,87
7763,93,c2
7765,e1,cc
7766,96,72
7768,e1,c9
776b,e1,ca
7779,e1,cf
777e,e1,ce
777f,e1,cd
778b,e1,d1
778e,e1,d0
7791,e1,d2
779e,e1,d4
77a0,e1,d3
77a5,95,cb
77ac,8f,75
77ad,97,c4
77b0,e1,d5
77b3,93,b5
77b6,e1,d6
77b9,e1,d7
77bb,e1,db
77bc,e1,d9
77bd,e1,da
77bf,e1,d8
77c7,e1,dc
77cd,e1,dd
77d7,e1,de
77da,e1,df
77db,96,b5
77dc,e1,e0
77e2,96,ee
77e3,e1,e1
77e5,92,6d
77e7,94,8a
77e9,8b,e9
77ed,92,5a
77ee,e1,e2
77ef,8b,b8
77f3,90,ce
77fc,e1,e3
7802,8d,bb
780c,e1,e4
7812,e1,e5
7814,8c,a4
7815,8d,d3
7820,e1,e7
7821,ee,5c
7821,fb,78
7825,93,75
7826,8d,d4
7827,8b,6d
7832,96,43
7834,94,6a
783a,93,76
783f,8d,7b
7845,e1,e9
784e,ee,5d
784e,fb,79
785d,8f,c9
7864,ee,5e
7864,fb,7a
786b,97,b0
786c,8d,64
786f,8c,a5
7872,94,a1
7874,e1,eb
787a,ee,5f
787a,fb,7b
787c,e1,ed
7881,8c,e9
7886,e1,ec
7887,92,f4
788c,e1,ef
788d,8a,56
788e,e1,ea
7891,94,e8
7893,89,4f
7895,8d,ea
7897,98,71
789a,e1,ee
78a3,e1,f0
78a7,95,c9
78a9,90,d7
78aa,e1,f2
78af,e1,f3
78b5,e1,f1
78ba,8a,6d
78bc,e1,f9
78be,e1,f8
78c1,8e,a5
78c5,e1,fa
78c6,e1,f5
78ca,e1,fb
78cb,e1,f6
78d0,94,d6
78d1,e1,f4
78d4,e1,f7
78da,e2,41
78e7,e2,40
78e8,96,81
78ec,e1,fc
78ef,88,e9
78f4,e2,43
78fd,e2,42
7901,8f,ca
7907,e2,44
790e,91,62
7911,e2,46
7912,e2,45
7919,e2,47
7926,e1,e6
792a,e1,e8
792b,e2,49
792c,e2,48
7930,ee,60
7930,fb,7c
793a,8e,a6
793c,97,e7
793e,8e,d0
7940,e2,4a
7941,8c,56
7947,8b,5f
7948,8b,46
7949,8e,83
7950,97,53
7953,e2,50
7955,e2,4f
7956,91,63
7957,e2,4c
795a,e2,4e
795d,8f,6a
795e,90,5f
795f,e2,4d
7960,e2,4b
7962,94,49
7965,8f,cb
7968,95,5b
796d,8d,d5
7977,93,98
797a,e2,51
797f,e2,52
7980,e2,68
7981,8b,d6
7984,98,5c
7985,91,54
798a,e2,53
798d,89,d0
798e,92,f5
798f,95,9f
7994,ee,64
7994,fb,81
799b,ee,66
799b,fb,83
799d,e2,54
79a6,8b,9a
79a7,e2,55
79aa,e2,57
79ae,e2,58
79b0,94,48
79b3,e2,59
79b9,e2,5a
79ba,e2,5b
79bd,8b,d7
79be,89,d1
79bf,93,c3
79c0,8f,47
79c1,8e,84
79c9,e2,5c
79cb,8f,48
79d1,89,c8
79d2,95,62
79d5,e2,5d
79d8,94,e9
79df,91,64
79e1,e2,60
79e3,e2,61
79e4,94,89
79e6,90,60
